id,username,request,response,status,intent,query,prompt_tokens,completion_tokens,total_tokens,start_time,end_time,time_taken_in_seconds
1,default_user,top 10 product wise disbursement?,"[{'product': 'GL.IGL.PRAGATI.PLUS', 'total_disbursement': Decimal('29065206000.000')}, {'product': 'GL.PRAGATI.SUPL.PLUS', 'total_disbursement': Decimal('9247147000.000')}, {'product': 'GL.GRM.UNNATI.LN', 'total_disbursement': Decimal('3183229000.000')}, {'product': 'GL.IGL.VISH.LN', 'total_disbursement': Decimal('3071155000.000')}, {'product': 'GL.EDUCATION.LN', 'total_disbursement': Decimal('2001259000.000')}, {'product': 'GL.GRM.VISH.SUPPL', 'total_disbursement': Decimal('1626536000.000')}, {'product': 'GL.GRM.GRIHA.SUDR.LN', 'total_disbursement': Decimal('812485000.000')}, {'product': 'GL.IGL.PRGTI.RESTR.1Y', 'total_disbursement': Decimal('563067000.000')}, {'product': 'GL.IGL.PRAGATI', 'total_disbursement': Decimal('271190000.000')}, {'product': 'GL.GRM.UNNATI.SUPP.LN', 'total_disbursement': Decimal('115421000.000')}]",True,"{'intent': 'ranking', 'metrics': ['disbursed_loan_amount', 'product_type'], 'keywords': ['top', 'product', 'disbursement'], 'locations': [], 'time_frame': None, 'selected_tables': [8], 'selected_columns': [42, 40], 'explanation': ['disbursed_loan_amount is selected as it represents the disbursed amount for each loan.', 'product_type is selected to get the disbursement for each product type.', 'Table 8 (accessdetails.__genai_loans_disbursement_17560...) is selected because it contains loan disbursement details, including product type and disbursed amount.', 'Column 42 (disbursed_loan_amount) is selected to get the disbursement amount.', 'Column 40 (product_type) is selected to group by product.']}","SELECT ""product"", SUM(""amount"") AS total_disbursement FROM accessdetails.__genai_loans_disbursement_1756049896399611_1756121654 GROUP BY ""product"" ORDER BY total_disbursement DESC LIMIT 10",2990,239,3229,1756367856.870649,1756367856.870656,6.9141387939453125e-06
1,default_user,show me the disbursement count and disbursement amount of each branch in mysore last month,[],True,"{'intent': 'total', 'metrics': ['disbursement_amount', 'disbursement_count', 'branch_name', 'last_month'], 'keywords': ['disbursement', 'amount', 'count', 'branch', 'mysore'], 'locations': ['mysore'], 'time_frame': 'last_month', 'selected_tables': [8], 'selected_columns': [15, 42, 49, 43], 'explanation': ['disbursement_amount and disbursement_count are the key metrics requested by the user.', ""Table 8 ('accessdetails.__genai_loans_disbursement_1756049...') contains the disbursement information, including branch and amount details."", ""branch_identity is needed to join with branch master table for branch name. disbursed_loan_amount is the disbursement amount. branch_name provides the branch's name, loan_open_date is used for filtering by last month.""]}","SELECT
  ""branch_name"",
  COUNT(*) AS disbursement_count,
  SUM(""amount"") AS disbursement_amount
FROM
  accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
WHERE
  UPPER(""branch_name"") LIKE UPPER('%mysore%')
  AND ""ln_value_date""::date >= DATE_TRUNC('month', NOW() - INTERVAL '1 month')::date
  AND ""ln_value_date""::date < DATE_TRUNC('month', NOW())::date
GROUP BY
  ""branch_name""
ORDER BY
  ""branch_name""
LIMIT
  100;",3021,339,3360,1756367949.471439,1756367949.471446,7.152557373046875e-06
1,default_user,show me the disbursement count and disbursement amount of each branch in mysore last month,[],True,"{'intent': 'total', 'metrics': ['disbursement_amount', 'disbursement_count', 'branch_name', 'last_month'], 'keywords': ['disbursement', 'amount', 'count', 'branch', 'mysore'], 'locations': ['mysore'], 'time_frame': 'last_month', 'selected_tables': [8], 'selected_columns': [15, 42, 49, 43], 'explanation': ['disbursement_amount and disbursement_count are the core metrics requested.', ""Table 8 ('accessdetails.__genai_loans_disbursement_1756049...') contains disbursement information, including amount and count. It also contains branch information and loan open date."", ""branch_name is needed to show each branch's disbursement. loan_open_date is needed to filter by the last month.""]}","SELECT COUNT(*) AS disbursement_count, SUM(""amount"") AS disbursement_amount, ""branch_name""
FROM accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
WHERE UPPER(""branch_name"") LIKE UPPER('%mysore%')
AND ""ln_value_date""::date >= DATE_TRUNC('month', NOW()) - INTERVAL '1 month'
AND ""ln_value_date""::date < DATE_TRUNC('month', NOW())
GROUP BY ""branch_name""
ORDER BY ""branch_name""
LIMIT 100;",3021,303,3324,1756372038.642918,1756372038.642931,1.2874603271484375e-05
1,default_user,show me the disbursement count and disbursement amount of each branch in mysore last month,[],True,"{'intent': 'distribution', 'metrics': ['disbursed_loan_amount', 'branch_name', 'monthly'], 'keywords': ['disbursement', 'amount', 'branch', 'mysore', 'month'], 'explanation': ['disbursed_loan_amount is used as it represents the disbursement amount.', 'branch_name is used for grouping by branch.', 'monthly represents last month timeframe.']}",-- No tables or columns provided.  Unable to generate a query.,1954,114,2068,1756377969.302627,1756377969.302633,5.9604644775390625e-06
1,default_user,show me the disbursement count and disbursement amount of each branch in mysore last month,[],True,"{'intent': 'distribution', 'metrics': ['disbursed_loan_amount', 'branch_name', 'monthly'], 'keywords': ['disbursement', 'branch', 'mysore', 'amount', 'count'], 'explanation': ['disbursed_loan_amount is chosen because the question asks for disbursement amount. branch_name is chosen because the question asks for each branch. monthly is chosen because the question asks for last month.']}",-- No tables or columns provided.  Unable to generate a query.,1954,119,2073,1756378129.24244,1756378129.242445,5.0067901611328125e-06
1,default_user,show me the disbursement count and disbursement amount of each branch in mysore last month,[],True,"{'intent': 'distribution', 'metrics': ['disbursed_loan_amount', 'branch_name', 'monthly'], 'keywords': ['disbursement', 'amount', 'branch', 'mysore', 'month'], 'explanation': ['disbursed_loan_amount: captures the disbursement amount as requested.', 'branch_name: groups the data by branch for the distribution.', ""monthly: filters the data to include only last month's data as specified.""]}",-- No tables or columns provided.  Unable to generate a query.,1951,125,2076,1756380059.852629,1756380059.85265,2.09808349609375e-05
1,default_user,show me the disbursement count and disbursement amount of each branch in mysore last month,[],True,"{'intent': 'distribution', 'metrics': ['disbursed_loan_amount', 'branch_name', 'loan_open_date'], 'keywords': ['disbursement', 'amount', 'branch', 'mysore', 'month'], 'explanation': ['disbursed_loan_amount: captures the disbursement amount as requested in the question.', 'branch_name: used for grouping the disbursement amount by branch, as specified in the question.', ""loan_open_date: represents the timeframe, filtering the data to 'last month' as per the user's request.""]}",-- No tables or columns provided.  Unable to generate a query.,1921,145,2066,1756380492.245687,1756380492.245705,1.7881393432617188e-05
1,default_user,show me the disbursement count and disbursement amount of each branch in mysore last month,[],True,"{'intent': 'distribution', 'metrics': ['disbursment_branch_id', 'branch_name', 'disbursed_loan_amount'], 'keywords': ['disbursement', 'amount', 'branch', 'mysore', 'month'], 'explanation': ['disbursement_branch_id and branch_name are chosen because the question asks for branch-wise distribution. disbursed_loan_amount is selected as it represents the disbursement amount.']}",-- No tables or columns provided.  Unable to generate query.,1946,116,2062,1756380625.489209,1756380625.489226,1.71661376953125e-05
1,default_user,show me the disbursement count and disbursement amount of each branch in mysore last month,[],True,"{'intent': 'distribution', 'metrics': ['disbursed_loan_amount', 'branch_name', 'loan_open_date'], 'keywords': ['disbursement', 'amount', 'branch', 'mysore', 'month'], 'explanation': ['disbursed_loan_amount: captures the disbursement amount as requested.', 'branch_name: groups the data by branch for distribution as requested.', 'loan_open_date: filters the data to last month as specified in the question.']}",-- No tables or columns provided.  Unable to generate a query.,1922,129,2051,1756380687.018065,1756380687.018086,2.09808349609375e-05
1,default_user,monthly distribution of disbursement amount and disbursement count in mysore branch ?,[],True,"{'intent': 'distribution', 'metrics': ['disbursed_loan_amount', 'loan_open_date', 'branch_name'], 'keywords': ['disbursement', 'amount', 'count', 'branch', 'mysore', 'monthly'], 'explanation': ['disbursed_loan_amount: captures the disbursement amount as requested.', 'loan_open_date: used to determine the monthly distribution.', 'branch_name: filters the data to the Mysore branch.']}",-- No tables or columns provided.  Unable to generate a query.,1915,123,2038,1756380730.191147,1756380730.191165,1.7881393432617188e-05
1,default_user,top 10 product wise disbursement?,[],True,"{'intent': 'ranking', 'metrics': ['product_type', 'disbursed_loan_amount'], 'keywords': ['product', 'disbursement', 'top'], 'explanation': ['product_type is used for ranking as the question asks for product-wise ranking.', 'disbursed_loan_amount is the metric to be ranked because the question asks for disbursement.']}",Unable to provide a query.  No tables or columns were provided.,1901,102,2003,1756380766.860319,1756380766.860326,7.152557373046875e-06
1,default_user,list all branches available in karnataka state?,[],True,"{'intent': 'total', 'metrics': ['branch_name', 'state'], 'keywords': ['branch', 'state', 'Karnataka'], 'explanation': ['branch_name is chosen because the question asks for a list of branches.', 'state is chosen as a filter to limit the branches to those in Karnataka.']}",-- No tables or columns provided.  Unable to generate a query.,1903,98,2001,1756380793.496058,1756380793.496065,6.9141387939453125e-06
1,default_user,total disbursement amount and count for product GL.IGL.PRAGATI.PLUS?,[],True,"{'intent': 'total', 'metrics': ['disbursed_loan_amount', 'product_type'], 'keywords': ['disbursement', 'amount', 'count', 'product', 'GL.IGL.PRAGATI.PLUS'], 'explanation': ['disbursed_loan_amount is selected because the question asks for total disbursement amount. product_type is used for filtering to the specific product GL.IGL.PRAGATI.PLUS']}",-- No tables or columns provided.  Unable to generate a query.,1923,119,2042,1756380812.968577,1756380812.968585,8.106231689453125e-06
1,default_user,month wise disbursement amount and count for product GL.IGL.PRAGATI.PLUS?,[],True,"{'intent': 'distribution', 'metrics': ['disbursed_loan_amount', 'loan_open_date', 'product_type'], 'keywords': ['disbursement', 'amount', 'count', 'product', 'month'], 'explanation': ['disbursed_loan_amount: captures the disbursement amount as requested in the question.', 'loan_open_date: used to get the month-wise distribution as the question asks for month-wise data.', ""product_type: filters the data to only include the product 'GL.IGL.PRAGATI.PLUS'.""]}",-- No tables or columns provided.  Unable to generate a query.,1925,146,2071,1756380838.470969,1756380838.470977,8.106231689453125e-06
1,default_user,payment frequency wise disbursement last month?,[],True,"{'intent': 'distribution', 'metrics': ['disbursed_loan_amount', 'loan_open_date', 'meeting_day'], 'keywords': ['payment', 'frequency', 'disbursement', 'month'], 'explanation': ['disbursed_loan_amount: captures the amount disbursed.', ""loan_open_date: used to filter for last month's data."", 'meeting_day: represents the payment frequency, enabling distribution analysis.']}",No query can be generated.  No tables or columns were provided.,1901,115,2016,1756380865.358218,1756380865.358226,8.106231689453125e-06
1,default_user,top 10 branches having the best disbursement last month?,[],True,"{'intent': 'ranking', 'metrics': ['disbursed_loan_amount', 'branch_name', 'loan_open_date'], 'keywords': ['branch', 'disbursement', 'top', 'month'], 'explanation': ['branch_name: requested to rank branches.', 'disbursed_loan_amount: used for ranking branches based on disbursement.', 'loan_open_date: used to filter data for last month as requested']}",-- No tables or columns provided.  Unable to generate a query.,1909,119,2028,1756380896.572151,1756380896.572159,8.106231689453125e-06
1,default_user,term wise disbursement in mysore branch?,[],True,"{'intent': 'distribution', 'metrics': ['disbursed_loan_amount', 'term_tenure', 'branch_name'], 'keywords': ['disbursement', 'term', 'branch', 'mysore'], 'explanation': ['disbursed_loan_amount: captures the amount disbursed for each loan.', 'term_tenure: represents the term of the loan, providing a distribution across different loan terms.', 'branch_name: filters the data to the specific Mysore branch.']}",-- No tables or columns provided.  Unable to generate a query.,1903,131,2034,1756380914.403847,1756380914.403855,8.106231689453125e-06
1,default_user,term wise disbursement in mysore branch?,[],True,"{'intent': 'distribution', 'metrics': ['disbursed_loan_amount', 'term_tenure', 'branch_name'], 'keywords': ['disbursement', 'term', 'branch', 'mysore'], 'explanation': ['disbursed_loan_amount: captures the amount disbursed for each loan.', 'term_tenure: captures the term of the loan.', 'branch_name: filters the data to the Mysore branch as specified in the question.']}",ERROR: No tables or columns provided.  A query cannot be generated.,1903,124,2027,1756381088.926517,1756381088.92653,1.2874603271484375e-05
1,default_user,month wise disbursement amount and count for product GL.IGL.PRAGATI.PLUS?,[],True,"{'intent': 'distribution', 'metrics': ['disbursed_loan_amount', 'loan_open_date', 'product_type'], 'keywords': ['disbursement', 'amount', 'count', 'product', 'month'], 'explanation': ['disbursed_loan_amount: captures the disbursement amount as requested in the question.', 'loan_open_date: used to get the month-wise distribution as per the question.', 'product_type: filters the data for product GL.IGL.PRAGATI.PLUS as mentioned in the question.']}",-- No tables or columns provided.  Unable to generate a query.,1932,142,2074,1756381508.77545,1756381508.775472,2.193450927734375e-05
1,default_user,branch wise disbursement amount and count last month,[],True,"{'intent': 'distribution', 'metrics': ['branch_name', 'disbursed_loan_amount', 'loan_open_date'], 'keywords': ['branch', 'disbursement', 'amount', 'loan', 'open', 'date'], 'explanation': ['branch_name: requested branch wise distribution', ""disbursed_loan_amount:  'disbursement amount' directly maps to this metric."", ""loan_open_date: 'last month' timeframe refers to loan opening date""]}",-- No tables or columns provided.  Unable to generate a query.,1911,129,2040,1756381603.898412,1756381603.898417,5.0067901611328125e-06
1,default_user,branch wise disbursement amount and count last month,[],True,"{'intent': 'distribution', 'metrics': ['disbursed_loan_amount', 'branch_name', 'loan_open_date'], 'keywords': ['disbursement', 'amount', 'branch', 'last', 'month'], 'explanation': ['disbursed_loan_amount: captures the disbursement amount as requested.', 'branch_name: used for branch-wise distribution as specified in the question.', ""loan_open_date: filters the data to include only last month's disbursements based on the loan opening date.""]}",-- No tables or columns provided.  Unable to generate a query.,1911,136,2047,1756381672.841859,1756381672.841866,6.9141387939453125e-06
1,default_user,branch wise disbursement amount and count last month,[],True,"{'intent': 'distribution', 'metrics': ['branch_name', 'disbursed_loan_amount', 'loan_open_date'], 'keywords': ['branch', 'disbursement', 'amount', 'count', 'month'], 'explanation': ['branch_name is used for grouping the disbursement data branch wise. disbursed_loan_amount represents the disbursement amount. loan_open_date is used to filter the data for last month.']}",-- No tables or columns provided.  Unable to generate a query.,1911,117,2028,1756381705.590412,1756381705.59043,1.811981201171875e-05
1,default_user,branch wise disbursement amount and count last month,[],True,"{'intent': 'distribution', 'metrics': ['disbursed_loan_amount', 'disbursment_branch_id', 'loan_open_date'], 'keywords': ['disbursement', 'amount', 'branch', 'loan', 'open', 'date'], 'explanation': ['disbursed_loan_amount: captures the disbursement amount as requested.', 'disbursment_branch_id: provides the branch-wise breakdown as specified.', 'loan_open_date: filters the data to include only loans opened last month.']}",-- No tables or columns provided.  Unable to generate a query.,1926,136,2062,1756381880.708265,1756381880.708273,7.867813110351562e-06
1,default_user,branch wise disbursement amount and count last month,[],True,"{'intent': 'distribution', 'metrics': ['disbursed_loan_amount', 'branch_name', 'loan_open_date'], 'keywords': ['disbursement', 'amount', 'branch', 'last', 'month'], 'explanation': [""disbursed_loan_amount: This metric represents the amount disbursed for loans, aligning with the question's request for disbursement amount."", 'branch_name: This metric is used for grouping the data by branch, fulfilling the ""branch-wise"" requirement.', ""loan_open_date:  This metric is used to filter the data for 'last month' as specified in the question.  The instruction for loan_open_date in the metrics_reference mentions timeframes.""]}",-- No tables or columns provided.  Unable to generate a query.,1911,174,2085,1756381910.590673,1756381910.590681,8.106231689453125e-06
