id,type,master_id,prompt_tokens,completion_tokens,total_tokens,start_time,end_time,time_taken_in_seconds
67,intent_identification,1,1186,96,1282,1756377969.303743,1756377972.2080033,2.9042603969573975
68,map_indices_to_names,1,0,0,0,1756377972.2083542,1756377972.212948,0.004593849182128906
69,sql_generation,1,768,18,786,1756377972.2131202,1756377972.959869,0.746748685836792
70,sql_execution,1,0,0,0,1756377972.9605656,1756377973.6569946,0.6964290142059326
71,rephrase_question,1,0,0,0,1756378129.243331,1756378129.2436879,0.00035691261291503906
72,intent_identification,1,1186,101,1287,1756378129.2442708,1756378130.9484036,1.7041327953338623
73,map_indices_to_names,1,0,0,0,1756378130.9488878,1756378130.9564998,0.007611989974975586
74,sql_generation,1,768,18,786,1756378130.9572606,1756378131.674872,0.7176113128662109
75,sql_execution,1,0,0,0,1756378131.6754842,1756378131.7036393,0.028155088424682617
76,rephrase_question,1,0,0,0,1756380059.8530512,1756380059.8554265,0.002375364303588867
77,intent_identification,1,1183,107,1290,1756380059.8559926,1756380061.75905,1.903057336807251
78,map_indices_to_names,1,0,0,0,1756380061.7598789,1756380061.7710018,0.011122941970825195
79,sql_generation,1,768,18,786,1756380061.7718198,1756380062.4675431,0.695723295211792
80,sql_execution,1,0,0,0,1756380062.4680767,1756380062.7248163,0.25673961639404297
81,rephrase_question,1,0,0,0,1756380492.2460983,1756380492.2490215,0.002923250198364258
82,intent_identification,1,1153,127,1280,1756380492.2496665,1756380494.165489,1.9158225059509277
83,map_indices_to_names,1,0,0,0,1756380494.1659088,1756380494.1766448,0.01073598861694336
84,sql_generation,1,768,18,786,1756380494.1771922,1756380494.8955605,0.7183682918548584
85,sql_execution,1,0,0,0,1756380494.8961728,1756380495.8316026,0.9354298114776611
86,rephrase_question,1,0,0,0,1756380625.4897797,1756380625.4920316,0.002251863479614258
87,intent_identification,1,1178,99,1277,1756380625.4923823,1756380628.5290315,3.036649227142334
88,map_indices_to_names,1,0,0,0,1756380628.529831,1756380628.5424225,0.01259160041809082
89,sql_generation,1,768,17,785,1756380628.543486,1756380629.3449461,0.8014600276947021
90,sql_execution,1,0,0,0,1756380629.345853,1756380629.691514,0.345660924911499
91,rephrase_question,1,0,0,0,1756380687.0186086,1756380687.0225325,0.003923892974853516
92,intent_identification,1,1154,111,1265,1756380687.0232174,1756380690.1670127,3.1437952518463135
93,map_indices_to_names,1,0,0,0,1756380690.167699,1756380690.18321,0.015510797500610352
94,sql_generation,1,768,18,786,1756380690.1842108,1756380690.883044,0.6988332271575928
95,sql_execution,1,0,0,0,1756380690.883413,1756380691.5551116,0.6716985702514648
96,rephrase_question,1,0,0,0,1756380730.1924357,1756380730.1928592,0.000423431396484375
97,intent_identification,1,1151,109,1260,1756380730.1937802,1756380731.7330403,1.5392601490020752
98,map_indices_to_names,1,0,0,0,1756380731.733995,1756380731.7452605,0.01126551628112793
99,sql_generation,1,764,14,778,1756380731.7459812,1756380732.5622418,0.816260576248169
100,sql_execution,1,0,0,0,1756380732.563215,1756380732.7473204,0.18410539627075195
101,rephrase_question,1,0,0,0,1756380766.8618863,1756380766.8620892,0.0002028942108154297
102,intent_identification,1,1144,88,1232,1756380766.8635461,1756380768.2971323,1.4335861206054688
103,map_indices_to_names,1,0,0,0,1756380768.297621,1756380768.3083684,0.010747432708740234
104,sql_generation,1,757,14,771,1756380768.311035,1756380769.0189025,0.7078676223754883
105,sql_execution,1,0,0,0,1756380769.0200553,1756380769.1214876,0.10143232345581055
106,rephrase_question,1,0,0,0,1756380793.4964428,1756380793.4971304,0.0006875991821289062
107,intent_identification,1,1145,80,1225,1756380793.4982514,1756380794.826574,1.3283226490020752
108,map_indices_to_names,1,0,0,0,1756380794.8277662,1756380794.8443327,0.01656651496887207
109,sql_generation,1,758,18,776,1756380794.8469112,1756380795.9430115,1.0961003303527832
110,sql_execution,1,0,0,0,1756380795.943938,1756380796.091993,0.1480550765991211
111,rephrase_question,1,0,0,0,1756380812.9699957,1756380812.9703295,0.0003337860107421875
112,intent_identification,1,1155,105,1260,1756380812.9714353,1756380814.3764608,1.4050254821777344
113,map_indices_to_names,1,0,0,0,1756380814.377286,1756380814.3907814,0.013495445251464844
114,sql_generation,1,768,14,782,1756380814.394076,1756380815.195405,0.8013288974761963
115,sql_execution,1,0,0,0,1756380815.198223,1756380815.4138417,0.21561861038208008
116,rephrase_question,1,0,0,0,1756380838.4714038,1756380838.4717252,0.00032138824462890625
117,intent_identification,1,1156,128,1284,1756380838.4722228,1756380840.0770233,1.6048004627227783
118,map_indices_to_names,1,0,0,0,1756380840.0783296,1756380840.088247,0.009917497634887695
119,sql_generation,1,769,18,787,1756380840.0944314,1756380840.791663,0.6972315311431885
120,sql_execution,1,0,0,0,1756380840.7934377,1756380840.9201655,0.12672781944274902
121,rephrase_question,1,0,0,0,1756380865.3587153,1756380865.3589513,0.00023603439331054688
122,intent_identification,1,1144,101,1245,1756380865.3593075,1756380866.7647197,1.405412197113037
123,map_indices_to_names,1,0,0,0,1756380866.7653024,1756380866.7782521,0.012949705123901367
124,sql_generation,1,757,14,771,1756380866.7790823,1756380867.5203333,0.7412509918212891
125,sql_execution,1,0,0,0,1756380867.5209165,1756380867.637682,0.11676549911499023
126,rephrase_question,1,0,0,0,1756380896.5736125,1756380896.5738387,0.0002262592315673828
127,intent_identification,1,1148,101,1249,1756380896.5748255,1756380898.1486945,1.573868989944458
128,map_indices_to_names,1,0,0,0,1756380898.1501482,1756380898.1637738,0.013625621795654297
129,sql_generation,1,761,18,779,1756380898.16475,1756380898.8561337,0.6913836002349854
130,sql_execution,1,0,0,0,1756380898.8572297,1756380898.980685,0.12345528602600098
131,rephrase_question,1,0,0,0,1756380914.4042826,1756380914.4046164,0.0003337860107421875
132,intent_identification,1,1145,113,1258,1756380914.405156,1756380915.9552035,1.5500476360321045
133,map_indices_to_names,1,0,0,0,1756380915.955984,1756380915.9725378,0.016553640365600586
134,sql_generation,1,758,18,776,1756380915.9748657,1756380916.677814,0.7029483318328857
135,sql_execution,1,0,0,0,1756380916.6786127,1756380916.8088653,0.13025259971618652
136,rephrase_question,1,0,0,0,1756381088.9269302,1756381088.927222,0.0002918243408203125
137,intent_identification,1,1145,109,1254,1756381088.927638,1756381090.4428995,1.5152614116668701
138,map_indices_to_names,1,0,0,0,1756381090.4434352,1756381090.455738,0.012302875518798828
139,sql_generation,1,758,15,773,1756381090.460434,1756381091.1581604,0.6977264881134033
140,sql_execution,1,0,0,0,1756381091.1590593,1756381091.2485955,0.08953619003295898
141,rephrase_question,1,0,0,0,1756381508.7758827,1756381508.7788095,0.0029268264770507812
142,intent_identification,1,1163,124,1287,1756381508.7791538,1756381510.9908895,2.211735725402832
143,map_indices_to_names,1,0,0,0,1756381510.991547,1756381511.0017524,0.010205268859863281
144,sql_generation,1,769,18,787,1756381511.002739,1756381511.709347,0.7066080570220947
145,sql_execution,1,0,0,0,1756381511.7101805,1756381512.3319774,0.6217968463897705
146,rephrase_question,1,0,0,0,1756381603.8987556,1756381603.8988795,0.0001239776611328125
147,intent_identification,1,1152,111,1263,1756381603.8991656,1756381605.403146,1.5039803981781006
148,map_indices_to_names,1,0,0,0,1756381605.4037874,1756381605.4152715,0.011484146118164062
149,sql_generation,1,759,18,777,1756381605.4159946,1756381606.062378,0.6463832855224609
150,sql_execution,1,0,0,0,1756381606.0632389,1756381606.144996,0.0817570686340332
151,rephrase_question,1,0,0,0,1756381672.8428574,1756381672.8433456,0.00048828125
152,intent_identification,1,1152,118,1270,1756381672.8455763,1756381674.6516762,1.8060998916625977
153,map_indices_to_names,1,0,0,0,1756381674.652136,1756381674.6633873,0.011251211166381836
154,sql_generation,1,759,18,777,1756381674.667232,1756381675.3769548,0.7097227573394775
155,sql_execution,1,0,0,0,1756381675.3776681,1756381675.494845,0.11717677116394043
156,rephrase_question,1,0,0,0,1756381705.5908282,1756381705.5929916,0.002163410186767578
157,intent_identification,1,1152,99,1251,1756381705.593548,1756381707.2569723,1.6634242534637451
158,map_indices_to_names,1,0,0,0,1756381707.2578948,1756381707.2834802,0.025585412979125977
159,sql_generation,1,759,18,777,1756381707.2864182,1756381708.0067096,0.7202913761138916
160,sql_execution,1,0,0,0,1756381708.0077715,1756381708.4369633,0.42919182777404785
161,rephrase_question,1,0,0,0,1756381880.7091029,1756381880.709328,0.000225067138671875
162,intent_identification,1,1167,118,1285,1756381880.7095783,1756381882.2902138,1.5806355476379395
163,map_indices_to_names,1,0,0,0,1756381882.2909038,1756381882.2986271,0.007723331451416016
164,sql_generation,1,759,18,777,1756381882.2991447,1756381883.2111177,0.9119729995727539
165,sql_execution,1,0,0,0,1756381883.2116385,1756381883.2932763,0.08163785934448242
166,rephrase_question,1,0,0,0,1756381910.5911114,1756381910.5916102,0.0004987716674804688
167,intent_identification,1,1152,156,1308,1756381910.5919132,1756381912.3961816,1.8042683601379395
168,map_indices_to_names,1,0,0,0,1756381912.3965645,1756381912.4039383,0.007373809814453125
169,sql_generation,1,759,18,777,1756381912.4045413,1756381913.2120442,0.8075029850006104
170,sql_execution,1,0,0,0,1756381913.212813,1756381913.2997046,0.08689165115356445
171,rephrase_question,1,0,0,0,1756381927.3685048,1756381927.368625,0.0001201629638671875
172,intent_identification,1,1152,120,1272,1756381927.3688715,1756381929.1853395,1.8164680004119873
173,map_indices_to_names,1,0,0,0,1756381929.186152,1756381929.1950498,0.008897781372070312
174,sql_generation,1,759,18,777,1756381929.19565,1756381930.0047011,0.8090510368347168
175,sql_execution,1,0,0,0,1756381930.0054324,1756381930.0956821,0.09024977684020996
176,rephrase_question,1,0,0,0,1756381956.1361523,1756381956.1364436,0.0002913475036621094
177,intent_identification,1,1153,143,1296,1756381956.1370227,1756381957.9588852,1.8218624591827393
178,map_indices_to_names,1,0,0,0,1756381957.9596293,1756381957.970559,0.010929584503173828
179,sql_generation,1,760,18,778,1756381957.9714391,1756381958.6816583,0.710219144821167
180,sql_execution,1,0,0,0,1756381958.6823657,1756381958.7688718,0.08650612831115723
181,rephrase_question,1,0,0,0,1756382555.9939742,1756382555.9966183,0.002644062042236328
182,intent_identification,1,1350,122,1472,1756382555.9972622,1756382559.145031,3.14776873588562
183,map_indices_to_names,1,0,0,0,1756382559.1457162,1756382559.1547732,0.009057044982910156
184,sql_generation,1,760,18,778,1756382559.155598,1756382559.956942,0.8013441562652588
185,sql_execution,1,0,0,0,1756382559.9576468,1756382560.6530159,0.6953690052032471
186,rephrase_question,1,0,0,0,1756382759.2436705,1756382759.2451258,0.0014553070068359375
187,intent_identification,1,1349,134,1483,1756382759.2455559,1756382762.5079188,3.2623629570007324
188,map_indices_to_names,1,0,0,0,1756382762.5086732,1756382762.5175736,0.00890040397644043
189,sql_generation,1,759,14,773,1756382762.5183206,1756382763.1729906,0.654670000076294
190,sql_execution,1,0,0,0,1756382763.1737888,1756382764.240041,1.0662522315979004
191,rephrase_question,1,0,0,0,1756382893.8947582,1756382893.8952622,0.0005040168762207031
192,intent_identification,1,1349,115,1464,1756382893.8964171,1756382895.6214762,1.7250590324401855
193,map_indices_to_names,1,0,0,0,1756382895.6219976,1756382895.6351814,0.013183832168579102
194,sql_generation,1,759,18,777,1756382895.6361675,1756382896.438015,0.8018474578857422
195,sql_execution,1,0,0,0,1756382896.4387665,1756382896.5770714,0.1383049488067627
196,rephrase_question,1,0,0,0,1756383101.304767,1756383101.3071983,0.0024313926696777344
197,intent_identification,1,2357,128,2485,1756383101.307932,1756383103.4908667,2.1829347610473633
198,map_indices_to_names,1,0,0,0,1756383103.491697,1756383103.5023236,0.010626554489135742
199,sql_generation,1,759,18,777,1756383103.5031044,1756383104.204444,0.7013394832611084
200,sql_execution,1,0,0,0,1756383104.205647,1756383104.6602123,0.45456528663635254
201,rephrase_question,1,0,0,0,1756383271.4385498,1756383271.4390068,0.0004570484161376953
202,intent_identification,1,2359,138,2497,1756383271.4393942,1756383273.2640727,1.8246784210205078
203,map_indices_to_names,1,0,0,0,1756383273.2646453,1756383273.2704606,0.005815267562866211
204,sql_generation,1,759,18,777,1756383273.2709506,1756383273.9316,0.6606495380401611
205,sql_execution,1,0,0,0,1756383273.9322062,1756383274.0269556,0.09474945068359375
206,rephrase_question,1,0,0,0,1756383308.4403622,1756383308.4408221,0.00045990943908691406
207,intent_identification,1,2363,120,2483,1756383308.441358,1756383310.330156,1.8887979984283447
208,map_indices_to_names,1,0,0,0,1756383310.330709,1756383310.340088,0.009378910064697266
209,sql_generation,1,763,13,776,1756383310.3406606,1756383311.023534,0.6828734874725342
210,sql_execution,1,0,0,0,1756383311.0246,1756383311.1229513,0.09835124015808105
211,rephrase_question,1,0,0,0,1756383328.5472908,1756383328.5476062,0.0003154277801513672
212,intent_identification,1,2363,164,2527,1756383328.5479999,1756383330.8107028,2.2627029418945312
213,map_indices_to_names,1,0,0,0,1756383330.8113902,1756383330.8229866,0.011596441268920898
214,sql_generation,1,763,18,781,1756383330.8250973,1756383331.527905,0.7028076648712158
215,sql_execution,1,0,0,0,1756383331.5285475,1756383331.6649354,0.13638782501220703
216,rephrase_question,1,0,0,0,1756383336.5747302,1756383336.575067,0.0003368854522705078
217,intent_identification,1,2363,122,2485,1756383336.5755498,1756383338.3909054,1.8153555393218994
218,map_indices_to_names,1,0,0,0,1756383338.3914921,1756383338.4022152,0.010723114013671875
219,sql_generation,1,763,18,781,1756383338.4027948,1756383339.0882635,0.6854686737060547
220,sql_execution,1,0,0,0,1756383339.0893655,1756383339.166134,0.07676863670349121
221,rephrase_question,1,0,0,0,1756383343.1574743,1756383343.157765,0.0002906322479248047
222,intent_identification,1,2363,142,2505,1756383343.1583035,1756383345.146204,1.9879004955291748
223,map_indices_to_names,1,0,0,0,1756383345.1466424,1756383345.1552036,0.008561134338378906
224,sql_generation,1,763,18,781,1756383345.1557717,1756383345.8629324,0.7071607112884521
225,sql_execution,1,0,0,0,1756383345.8633497,1756383345.9535725,0.09022283554077148
226,rephrase_question,1,0,0,0,1756383377.7207575,1756383377.7209826,0.000225067138671875
227,intent_identification,1,2365,173,2538,1756383377.7214134,1756383379.8580692,2.136655807495117
228,map_indices_to_names,1,0,0,0,1756383379.8588877,1756383379.8682082,0.009320497512817383
229,sql_generation,1,765,14,779,1756383379.8698423,1756383380.6482625,0.7784202098846436
230,sql_execution,1,0,0,0,1756383380.6490839,1756383380.7814822,0.13239836692810059
231,rephrase_question,1,0,0,0,1756383530.5400708,1756383530.5403452,0.00027441978454589844
232,intent_identification,1,2365,175,2540,1756383530.5413568,1756383532.6370862,2.095729351043701
233,map_indices_to_names,1,0,0,0,1756383532.6376345,1756383532.6464624,0.008827924728393555
234,sql_generation,1,765,18,783,1756383532.6477313,1756383533.3550396,0.707308292388916
235,sql_execution,1,0,0,0,1756383533.3554592,1756383533.460306,0.10484671592712402
236,rephrase_question,1,0,0,0,1756385123.9826229,1756385123.982901,0.00027823448181152344
237,intent_identification,1,2365,160,2525,1756385123.983393,1756385127.2865214,3.303128480911255
238,map_indices_to_names,1,0,0,0,1756385127.2883973,1756385127.306182,0.017784595489501953
239,sql_generation,1,765,18,783,1756385127.3073487,1756385128.002487,0.6951382160186768
240,sql_execution,1,0,0,0,1756385128.0033245,1756385128.2356281,0.23230361938476562
241,rephrase_question,1,0,0,0,1756385162.6340578,1756385162.6343699,0.0003120899200439453
242,intent_identification,1,2368,184,2552,1756385162.635122,1756385164.875315,2.2401928901672363
243,map_indices_to_names,1,0,0,0,1756385164.8762572,1756385164.8906891,0.014431953430175781
244,sql_generation,1,768,18,786,1756385164.892124,1756385165.6923082,0.8001842498779297
245,sql_execution,1,0,0,0,1756385165.692782,1756385165.735272,0.04249000549316406
246,rephrase_question,1,0,0,0,1756385171.319415,1756385171.3199415,0.00052642822265625
247,intent_identification,1,2368,153,2521,1756385171.3206596,1756385173.3675706,2.0469110012054443
248,map_indices_to_names,1,0,0,0,1756385173.368514,1756385173.3789194,0.010405302047729492
249,sql_generation,1,768,14,782,1756385173.3824692,1756385174.081908,0.6994388103485107
250,sql_execution,1,0,0,0,1756385174.082752,1756385174.129471,0.04671907424926758
251,rephrase_question,1,0,0,0,1756385208.8372006,1756385208.837404,0.0002033710479736328
252,intent_identification,1,2358,153,2511,1756385208.8384023,1756385211.046339,2.2079367637634277
253,map_indices_to_names,1,0,0,0,1756385211.046998,1756385211.0571702,0.010172128677368164
254,sql_generation,1,758,18,776,1756385211.0584736,1756385212.1804383,1.121964693069458
255,sql_execution,1,0,0,0,1756385212.1819177,1756385212.5074625,0.3255448341369629
256,rephrase_question,1,0,0,0,1756385229.0553374,1756385229.0555878,0.0002503395080566406
257,intent_identification,1,2358,66,2424,1756385229.0558705,1756385230.4040873,1.3482167720794678
258,map_indices_to_names,1,0,0,0,1756385230.4053175,1756385230.4193928,0.014075279235839844
259,sql_generation,1,757,18,775,1756385230.4238818,1756385231.169296,0.7454142570495605
260,sql_execution,1,0,0,0,1756385231.1707785,1756385231.2117577,0.04097914695739746
261,rephrase_question,1,0,0,0,1756385255.961805,1756385255.9620068,0.00020170211791992188
262,intent_identification,1,2359,161,2520,1756385255.962958,1756385257.9447722,1.9818141460418701
263,map_indices_to_names,1,0,0,0,1756385257.9458783,1756385257.960785,0.014906644821166992
264,sql_generation,1,758,18,776,1756385257.9643388,1756385258.6434674,0.6791286468505859
265,sql_execution,1,0,0,0,1756385258.643979,1756385258.7312112,0.08723211288452148
266,rephrase_question,1,0,0,0,1756385705.9946778,1756385705.996793,0.0021152496337890625
267,intent_identification,1,2361,123,2484,1756385705.9974134,1756385708.2994747,2.3020613193511963
268,map_indices_to_names,1,0,0,0,1756385708.3001025,1756385708.3098414,0.009738922119140625
269,sql_generation,1,761,18,779,1756385708.310739,1756385708.9855914,0.6748523712158203
270,sql_execution,1,0,0,0,1756385708.986419,1756385709.4429235,0.45650458335876465
271,rephrase_question,1,0,0,0,1756385840.9939997,1756385840.994333,0.0003333091735839844
272,intent_identification,1,2358,141,2499,1756385840.995214,1756385843.0486486,2.0534346103668213
273,map_indices_to_names,1,0,0,0,1756385843.049311,1756385843.0676198,0.01830887794494629
274,sql_generation,1,758,14,772,1756385843.0690348,1756385843.749312,0.6802771091461182
275,sql_execution,1,0,0,0,1756385843.7504523,1756385843.8380156,0.08756327629089355
276,rephrase_question,1,0,0,0,1756385880.8724241,1756385880.872682,0.0002579689025878906
277,intent_identification,1,2365,152,2517,1756385880.8736684,1756385882.9825737,2.10890531539917
278,map_indices_to_names,1,0,0,0,1756385882.9831173,1756385882.9933386,0.010221242904663086
279,sql_generation,1,764,14,778,1756385882.9943578,1756385883.7085538,0.714195966720581
280,sql_execution,1,0,0,0,1756385883.7092671,1756385883.7888913,0.07962417602539062
281,rephrase_question,1,0,0,0,1756386373.6221275,1756386373.6224785,0.0003509521484375
282,intent_identification,1,2370,247,2617,1756386373.6228845,1756386376.7498267,3.1269421577453613
283,map_indices_to_names,1,0,0,0,1756386376.7509637,1756386376.7627633,0.01179957389831543
284,sql_generation,1,770,18,788,1756386376.763438,1756386377.6715415,0.9081034660339355
285,sql_execution,1,0,0,0,1756386377.672402,1756386377.9732182,0.30081629753112793
286,rephrase_question,1,0,0,0,1756386507.8580081,1756386507.8584132,0.0004050731658935547
287,intent_identification,1,2359,149,2508,1756386507.8590574,1756386509.7203684,1.8613109588623047
288,map_indices_to_names,1,0,0,0,1756386509.7207968,1756386509.730894,0.010097265243530273
289,sql_generation,1,759,14,773,1756386509.7318177,1756386510.332398,0.6005802154541016
290,sql_execution,1,0,0,0,1756386510.332762,1756386510.4055517,0.07278966903686523
291,rephrase_question,1,0,0,0,1756386694.6502993,1756386694.6505468,0.0002474784851074219
292,intent_identification,1,2359,76,2435,1756386694.652079,1756386696.0898917,1.4378125667572021
293,map_indices_to_names,1,0,0,0,1756386696.0908453,1756386696.1111388,0.020293474197387695
294,sql_generation,1,759,18,777,1756386696.116895,1756386696.9065762,0.7896811962127686
295,sql_execution,1,0,0,0,1756386696.9079595,1756386696.983358,0.07539844512939453
296,rephrase_question,1,0,0,0,1756386775.5332575,1756386775.5336566,0.0003991127014160156
297,intent_identification,1,2359,78,2437,1756386775.5342214,1756386777.083833,1.5496115684509277
298,map_indices_to_names,1,0,0,0,1756386777.084516,1756386777.099255,0.014739036560058594
299,sql_generation,1,759,18,777,1756386777.1003938,1756386777.8009715,0.7005777359008789
300,sql_execution,1,0,0,0,1756386777.8026195,1756386777.8795085,0.0768890380859375
301,rephrase_question,1,0,0,0,1756386783.4500115,1756386783.4509156,0.000904083251953125
302,intent_identification,1,2359,78,2437,1756386783.4516227,1756386784.9712393,1.5196166038513184
303,map_indices_to_names,1,0,0,0,1756386784.971742,1756386784.9918013,0.02005934715270996
304,sql_generation,1,759,18,777,1756386784.9957752,1756386785.7739449,0.7781696319580078
305,sql_execution,1,0,0,0,1756386785.7745748,1756386785.8541996,0.07962489128112793
306,rephrase_question,1,0,0,0,1756399244.2132416,1756399244.2139814,0.0007398128509521484
307,intent_identification,1,2371,82,2453,1756399244.2142446,1756399246.4458704,2.23162579536438
308,map_indices_to_names,1,0,0,0,1756399246.4462564,1756399246.4510953,0.0048389434814453125
309,sql_generation,1,759,18,777,1756399246.4516585,1756399247.3180141,0.8663556575775146
310,sql_execution,1,0,0,0,1756399247.3186674,1756399247.6192749,0.30060744285583496
311,rephrase_question,1,0,0,0,1756399989.894503,1756399989.8954923,0.0009891986846923828
312,intent_identification,1,1972,78,2050,1756399989.8957894,1756399993.016485,3.1206955909729004
313,map_indices_to_names,1,0,0,0,1756399993.016622,1756399993.02009,0.003468036651611328
314,sql_generation,1,759,18,777,1756399993.0205045,1756399993.7254546,0.7049500942230225
315,sql_execution,1,0,0,0,1756399993.7255847,1756399994.00672,0.28113532066345215
316,rephrase_question,1,0,0,0,1756400283.2647626,1756400283.2656467,0.0008840560913085938
317,intent_identification,1,482,94,576,1756400283.265994,1756400285.9715652,2.705571174621582
